name,family,params,trainReturn,trainSharpe,trainMDD,trainTrades,trainExposure,testReturn,testSharpe,testMDD,testTrades,testExposure,fitness,feasible
BBreak_n11_k0.62_h3,BBreak,"{""n"": 11, ""k"": 0.62, ""h"": 3}",-0.08665007992675144,-0.1551377598907845,-0.2431539477867426,80,0.5396825396825397,0.019155609875006974,0.26087893034567694,-0.10147041344754193,27,0.588,-16.370593266787484,1
BBreak_n27_k1.6_h6,BBreak,"{""n"": 27, ""k"": 1.6, ""h"": 6}",-0.001576321991548224,0.052717295399534896,-0.11759057179528598,34,0.4708994708994709,0.1392126391530426,2.0580497511573137,-0.025214640759150475,5,0.404,-1000000000.0,0
BBreak_n7_k1.45_h10,BBreak,"{""n"": 7, ""k"": 1.45, ""h"": 10}",-0.0627431876325012,-0.07749437574290134,-0.306193691248994,68,0.5674603174603174,0.08746128376204099,0.8553003552603077,-0.09130950538813398,25,0.72,-13.024661732602667,1
BBreak_n12_k1.77_h8,BBreak,"{""n"": 12, ""k"": 1.77, ""h"": 8}",-0.0023036193355950862,0.04510145083568515,-0.11174196339991271,44,0.39285714285714285,0.07596939660327373,0.9648803277394569,-0.07137873228697578,15,0.508,-6.0692778606268485,1
BBreak_n10_k1.22_h7,BBreak,"{""n"": 10, ""k"": 1.22, ""h"": 7}",-0.049170629590509884,-0.05291761197454944,-0.27452113166085035,74,0.5396825396825397,0.09599597802585502,1.0847547052131328,-0.06815906708572739,19,0.584,-9.39532932470489,1
BBreak_n17_k1.42_h2,BBreak,"{""n"": 17, ""k"": 1.42, ""h"": 2}",-0.021223203395145607,-0.0030127301111572383,-0.16312776944401197,48,0.4933862433862434,0.0461174718992845,0.5954288140017575,-0.06982551229807643,17,0.508,-8.894357279495509,1
BBreak_n19_k1.5_h3,BBreak,"{""n"": 19, ""k"": 1.5, ""h"": 3}",-0.03086217656484569,-0.03321492087907455,-0.15591789034711978,44,0.4801587301587302,0.0461309833620811,0.6146495484780206,-0.09713755914222277,13,0.504,-10.604472547683061,1
BBreak_n19_k1.63_h8,BBreak,"{""n"": 19, ""k"": 1.63, ""h"": 8}",-0.014330697760257305,0.017902178427288383,-0.13286705183107916,38,0.4748677248677249,0.06633170423402901,0.8796325004713015,-0.08013975609789692,9,0.492,-1000000000.0,0
BBreak_n22_k1.09_h7,BBreak,"{""n"": 22, ""k"": 1.09, ""h"": 7}",0.02256070065905469,0.12234906336671196,-0.14542622925433002,42,0.5052910052910053,0.09255499211359508,1.1109657470993954,-0.06604354345215646,11,0.552,-4.879181181994131,1
BBreak_n15_k0.98_h5,BBreak,"{""n"": 15, ""k"": 0.98, ""h"": 5}",0.08076239568992549,0.27242083971935754,-0.15088634331212003,54,0.5370370370370371,0.08134644978481709,0.9543626880060367,-0.06426815941956088,17,0.572,-5.507437638880917,1
BBreak_n22_k1.41_h3,BBreak,"{""n"": 22, ""k"": 1.41, ""h"": 3}",-0.03232825834106945,-0.03457216543457579,-0.16488970625531574,42,0.4828042328042328,0.05280167025294169,0.7394377138827053,-0.09492901398699372,11,0.46,-1000000000.0,0
BBreak_n15_k1.19_h5,BBreak,"{""n"": 15, ""k"": 1.19, ""h"": 5}",0.0673631589932413,0.24055846516492058,-0.12955838546683596,52,0.5119047619047619,0.08134644978481709,0.9543626880060367,-0.06426815941956088,17,0.572,-5.196661313270955,1
BBreak_n15_k1.1_h6,BBreak,"{""n"": 15, ""k"": 1.1, ""h"": 6}",0.08418178123949427,0.27972291452926135,-0.14736962707691903,54,0.533068783068783,0.09686446984032426,1.1090448897260465,-0.06426815941956132,15,0.58,-4.47298248012297,1
BBreak_n40_k0.79_h7,BBreak,"{""n"": 40, ""k"": 0.79, ""h"": 7}",0.17799365495507669,0.5053728228548294,-0.15683728668040353,30,0.5582010582010583,0.16726234474709978,2.084803726030705,-0.029749882023322072,5,0.504,-1000000000.0,0
BBreak_n8_k0.8_h2,BBreak,"{""n"": 8, ""k"": 0.8, ""h"": 2}",-0.2177358205755744,-0.5623971813747083,-0.3290267675500287,106,0.5224867724867724,0.022665340134924605,0.3060550214879635,-0.07478909011753487,37,0.528,-18.408889140693255,1
BBreak_n25_k1.02_h3,BBreak,"{""n"": 25, ""k"": 1.02, ""h"": 3}",0.04233584462238271,0.17547710617858445,-0.1382575117967414,42,0.5251322751322751,0.0689488984996891,0.9256792879562594,-0.08082909598402621,13,0.488,-1000000000.0,0
BBreak_n18_k1.69_h7,BBreak,"{""n"": 18, ""k"": 1.69, ""h"": 7}",-0.08587341425413042,-0.20624919266591957,-0.18747115257432045,40,0.43253968253968256,0.07019833076809445,1.0507839940597699,-0.054575667277319106,9,0.424,-1000000000.0,0
BBreak_n18_k1.35_h8,BBreak,"{""n"": 18, ""k"": 1.35, ""h"": 8}",0.04564184303043528,0.18318008201219121,-0.16371745757286316,42,0.5079365079365079,0.06631331735945678,0.7777776093493599,-0.09303625772353141,15,0.572,-8.84566276299745,1
BBreak_n34_k0.69_h4,BBreak,"{""n"": 34, ""k"": 0.69, ""h"": 4}",0.051124559613684006,0.19236807203787568,-0.1362476977510434,40,0.5648148148148148,0.12354584301319971,1.5423990941279841,-0.05818007699483707,11,0.512,-2.157528119873255,1
BBreak_n20_k1.47_h10,BBreak,"{""n"": 20, ""k"": 1.47, ""h"": 10}",0.016867726645189096,0.10731092364700708,-0.16373509571505973,38,0.5092592592592593,0.08759823540230771,1.0548510153036659,-0.07967959589584483,11,0.548,-6.590178107510448,1
BBreak_n21_k1.47_h8,BBreak,"{""n"": 21, ""k"": 1.47, ""h"": 8}",0.0043879652129446,0.07286966525332644,-0.1559870604687742,38,0.49867724867724866,0.08439386690106732,1.067130267881967,-0.08013975609789692,9,0.504,-6.538067422737061,1
BBreak_n30_k0.97_h4,BBreak,"{""n"": 30, ""k"": 0.97, ""h"": 4}",0.16465882252723207,0.46564131232814,-0.12128925920607891,36,0.548941798941799,0.07754266744852845,0.9856606151182867,-0.05891688440382681,13,0.48,-1000000000.0,0
BBreak_n37_k1.14_h2,BBreak,"{""n"": 37, ""k"": 1.14, ""h"": 2}",0.033678124404536325,0.15470081069174024,-0.1698050489729469,32,0.5079365079365079,0.15064118890485978,1.966974989109307,-0.02816908558826403,7,0.452,-1000000000.0,0
BBreak_n12_k0.7_h4,BBreak,"{""n"": 12, ""k"": 0.7, ""h"": 4}",-0.08286776256210548,-0.16577235648234082,-0.20056154374864033,78,0.5423280423280423,0.008040577018725514,0.1335815477069013,-0.11042626611485207,25,0.596,-16.53737435486237,1
BBreak_n32_k1.28_h8,BBreak,"{""n"": 32, ""k"": 1.28, ""h"": 8}",-0.0014348652966653663,0.05927559057557839,-0.12480974759118035,32,0.5013227513227513,0.1588994398179211,2.02394100373321,-0.033806227749903384,5,0.468,-1000000000.0,0
BBreak_n29_k1.27_h9,BBreak,"{""n"": 29, ""k"": 1.27, ""h"": 9}",0.04919240200951891,0.19025962921052567,-0.14822896536054853,32,0.5119047619047619,0.173245013440269,2.1728853069007315,-0.030188949411720234,7,0.484,-1000000000.0,0
BBreak_n38_k0.83_h10,BBreak,"{""n"": 38, ""k"": 0.83, ""h"": 10}",0.17133027803974588,0.48926617516678195,-0.12753897516064272,32,0.5515873015873016,0.1610893612685229,2.0178442917006683,-0.03451333354091557,5,0.492,-1000000000.0,0
BBreak_n5_k1.38_h3,BBreak,"{""n"": 5, ""k"": 1.38, ""h"": 3}",-0.22745963723009466,-0.5687842441372167,-0.2560305414530326,128,0.4470899470899471,0.058967343328381716,0.7926001208196591,-0.0412842798384625,34,0.388,-1000000000.0,0
BBreak_n39_k1.48_h7,BBreak,"{""n"": 39, ""k"": 1.48, ""h"": 7}",-0.06002449667979626,-0.15254635155386667,-0.16538052137132242,30,0.4351851851851852,0.14844218791967445,1.9644053721672312,-0.0274919473721581,5,0.452,-1000000000.0,0
BBreak_n12_k0.88_h4,BBreak,"{""n"": 12, ""k"": 0.88, ""h"": 4}",-0.102879155529363,-0.23450756941625056,-0.22064611267949252,76,0.5251322751322751,0.044429858542519796,0.5377513904465909,-0.08073574064510058,23,0.576,-12.790195522433116,1
BBreak_n34_k0.5_h6,BBreak,"{""n"": 34, ""k"": 0.5, ""h"": 6}",0.11200006483440794,0.32429542067603045,-0.15548190213373503,38,0.6058201058201058,0.1338147663311866,1.6220648120439973,-0.06301837395937049,11,0.552,-1.795063925120593,1
