timestamp,position,price,equity
2020-06-02,1,308.08,1.034726203771488
2020-06-03,1,312.18,1.0484965797629937
2020-06-04,1,311.36,1.0457425045646926
2020-06-05,1,319.34,1.0725443583237697
2020-06-08,1,323.2,1.0855086635255289
2020-06-09,1,320.79,1.077414369345156
2020-06-10,1,319.0,1.071402424704962
2020-06-11,1,300.61,1.0096372504406228
2020-06-12,1,304.21,1.0217283122868228
2020-06-15,1,307.05,1.0312668166321586
2020-06-16,1,312.96,1.0511163098296703
2020-06-17,1,311.66,1.0467500930518758
2020-06-18,1,311.78,1.047153128446749
2020-06-19,1,308.64,1.0366070356142298
2020-06-22,1,310.62,1.04325711962964
2020-06-23,1,312.05,1.0480599580852141
2020-06-24,0,304.09,1.0208146142535033
2020-06-25,0,307.35,1.0208146142535033
2020-06-26,0,300.05,1.0208146142535033
2020-06-29,0,304.46,1.0208146142535033
2020-06-30,0,308.36,1.0208146142535033
2020-07-01,0,310.52,1.0208146142535033
2020-07-02,0,312.23,1.0208146142535033
2020-07-06,1,317.05,1.0203042069463766
2020-07-07,1,313.78,1.0097809621688503
2020-07-08,1,316.18,1.0175044445743742
2020-07-09,1,314.38,1.0117118327702312
2020-07-10,1,317.59,1.0220419904876192
2020-07-13,1,314.84,1.0131921668979567
2020-07-14,1,318.92,1.026322086987347
2020-07-15,1,321.85,1.035751171757424
2020-07-16,1,320.79,1.0323399670283175
2020-07-17,1,321.72,1.035332816460458
2020-07-20,1,324.32,1.0436999223997754
2020-07-21,1,325.01,1.0459204235913635
2020-07-22,1,326.86,1.0518739412789548
2020-07-23,1,322.96,1.0393232823699787
2020-07-24,1,320.88,1.032629597618525
2020-07-27,1,323.22,1.0401599929639107
2020-07-28,1,321.17,1.0335628517425257
2020-07-29,1,325.12,1.0462744165349502
2020-07-30,1,323.96,1.042541400038947
2020-07-31,1,326.52,1.0507797812715056
2020-08-03,1,328.79,1.0580849083800636
2020-08-04,1,330.06,1.0621719178196531
2020-08-05,1,332.11,1.0687690590410381
2020-08-06,1,334.33,1.0759132802661473
2020-08-07,1,334.57,1.0766856285066997
2020-08-10,1,335.57,1.079903746175668
2020-08-11,1,332.8,1.070989560232626
2020-08-12,1,337.44,1.0859216262166387
2020-08-13,1,336.83,1.083958574438568
2020-08-14,1,336.84,1.0839907556152577
2020-08-17,1,337.91,1.0874341415210538
2020-08-18,1,338.64,1.0897833674194004
2020-08-19,1,337.23,1.0852458215061553
2020-08-20,1,338.28,1.0886248450585718
2020-08-21,1,339.48,1.0924865862613338
2020-08-24,1,342.92,1.1035569110425845
2020-08-25,1,344.12,1.1074186522453462
2020-08-26,1,347.57,1.1185211582032866
